part	text_index	letter	down_ms	up_ms	actual_down_ms	actual_up_ms
1	14	A	95782.92	95952.82	95787.08	95956.48
1	15	N	96152.06	96331.62	96156.37	96335.92
1	15	N	96387.64	96443.90	96391.50	96447.81
1	16	T	96629.73	96832.72	96633.61	96836.37
1	18	W	97289.49	97356.78	97293.53	97361.08
1	18	W	97411.17	97559.25	97415.49	97562.79
1	18	W	97618.00	97774.28	97622.05	97778.23
1	19	X	97941.33	98140.74	97945.05	98145.09
1	19	X	98205.00	98267.84	98209.18	98271.78
1	19	X	98328.80	98386.62	98332.71	98390.47
1	19	X	98441.32	98628.73	98445.20	98632.90
1	21	L	98966.09	99018.99	98970.25	99023.56
1	21	L	99077.83	99291.03	99082.05	99295.37
1	21	L	99343.54	99393.84	99347.24	99397.69
1	21	L	99447.78	99501.87	99451.85	99505.71
1	22	O	99700.69	99877.78	99704.38	99881.85
1	22	O	99934.26	100098.84	99938.43	100103.22
1	22	O	100155.09	100339.64	100159.36	100343.67
1	23	T	100512.46	100704.16	100516.27	100708.23
1	24	W	100863.43	100920.05	100867.70	100924.03
1	24	W	100973.89	101145.95	100977.95	101150.37
1	24	W	101188.97	101410.49	101193.09	101414.59
1	26	C	101837.75	102026.97	101841.83	102030.82
1	26	C	102082.56	102138.01	102086.57	102141.89
1	26	C	102193.24	102356.95	102196.95	102360.52
1	26	C	102411.45	102475.91	102415.70	102479.94
1	27	O	102654.76	102873.12	102658.88	102877.18
1	27	O	102927.98	103138.12	102931.52	103142.43
1	27	O	103191.76	103382.15	103195.91	103386.04
1	28	P	103617.45	103666.15	103621.74	103669.71
1	28	P	103718.01	103945.45	103721.92	103949.35
1	28	P	104006.05	104187.00	104010.15	104191.00
1	28	P	104240.14	104301.66	104244.35	104306.46
1	29	Y	104461.37	104620.89	104465.75	104625.06
1	29	Y	104674.58	104735.39	104678.29	104739.46
1	29	Y	104790.23	104986.44	104794.59	104990.24
1	29	Y	105041.58	105265.37	105045.93	105269.32
1	31	R	105667.59	105728.65	105671.31	105732.20
1	31	R	105775.63	105966.31	105779.36	105969.95
1	31	R	106021.92	106089.83	106025.57	106093.63
1	32	I	106269.16	106331.12	106273.21	106335.00
1	32	I	106384.91	106454.06	106388.66	106458.19
1	33	G	106602.97	106790.09	106606.64	106794.17
1	33	G	106842.63	106987.26	106846.91	106991.41
1	33	G	107056.75	107108.21	107060.37	107112.28
1	35	H	107592.79	107655.07	107597.07	107659.16
1	35	H	107720.92	107777.99	107725.17	107781.65
1	35	H	107831.72	107890.02	107835.64	107894.19
1	35	H	107958.77	108012.57	107962.64	108016.67
1	36	P	108217.22	108283.68	108220.94	108287.81
1	36	P	108348.54	108553.32	108352.56	108556.98
1	36	P	108611.05	108826.06	108615.15	108830.10
1	36	P	108880.11	108935.98	108884.14	108939.67
1	37	E	109122.25	109177.68	109126.18	109181.77
1	39	F	109612.53	109676.42	109616.86	109680.25
1	39	F	109733.14	109798.12	109737.00	109801.78
1	39	F	109861.12	110052.08	109865.58	110056.19
1	39	F	110116.29	110174.35	110120.39	110178.23
1	40	E	110368.06	110432.63	110371.66	110436.83
1	41	R	110646.76	110701.93	110650.70	110705.59
1	41	R	110755.98	110965.18	110759.66	110969.43
1	41	R	111034.00	111095.39	111038.01	111099.29
1	43	C	111562.11	111752.06	111566.25	111756.12
1	43	C	111810.78	111868.39	111814.59	111872.53
1	43	C	111937.36	112128.72	111941.17	112132.22
1	43	C	112189.97	112227.61	112194.00	112231.48
1	44	O	112420.17	112602.81	112424.37	112606.86
1	44	O	112663.87	112854.65	112667.77	112858.38
1	44	O	112916.72	113103.56	112920.31	113107.64
1	45	P	113316.16	113369.15	113320.37	113373.32
1	45	P	113410.07	113614.95	113414.12	113618.45
1	45	P	113681.24	113869.39	113684.93	113873.65
1	45	P	113929.23	114010.82	113933.50	114014.97
1	46	Y	114145.70	114323.59	114149.32	114327.21
1	46	Y	114366.73	114422.37	114371.03	114426.64
1	46	Y	114482.48	114641.34	114486.57	114645.55
1	46	Y	114687.55	114882.29	114691.17	114885.78
1	48	Q	115305.41	115508.64	115309.62	115512.85
1	48	Q	115579.88	115759.48	115583.67	115763.65
1	48	Q	115829.60	115888.40	115833.86	115892.76
1	48	Q	115940.90	116129.39	115944.65	116132.93
1	49	R	116350.84	116415.15	116355.11	116419.49
