"prefix","dxcc_entity","dxcc_name","owner_country","source"
"8B","327","Indonesia","Indonesia","ng3k-direct"
"8B9","327","Indonesia","Indonesia","ng3k-direct"
"8C","327","Indonesia","Indonesia","ng3k-direct"
"8C9","327","Indonesia","Indonesia","ng3k-direct"
"8D","327","Indonesia","Indonesia","ng3k-direct"
"8D9","327","Indonesia","Indonesia","ng3k-direct"
"8E","327","Indonesia","Indonesia","ng3k-direct"
"8E9","327","Indonesia","Indonesia","ng3k-direct"
"8F","327","Indonesia","Indonesia","ng3k-direct"
"8F9","327","Indonesia","Indonesia","ng3k-direct"
"8G","327","Indonesia","Indonesia","ng3k-direct"
"8G9","327","Indonesia","Indonesia","ng3k-direct"
"8H","327","Indonesia","Indonesia","ng3k-direct"
"8H9","327","Indonesia","Indonesia","ng3k-direct"
"8I","327","Indonesia","Indonesia","ng3k-direct"
"8I9","327","Indonesia","Indonesia","ng3k-direct"
"8J","339","Japan","Japan","ng3k-direct"
"8J1RL","13","Antarctica","Antarctica","ng3k-direct"
"8K","339","Japan","Japan","ng3k-direct"
"8L","339","Japan","Japan","ng3k-direct"
"8M","339","Japan","Japan","ng3k-direct"
"8N","339","Japan","Japan","ng3k-direct"
"8O","402","Botswana","Botswana","ng3k-direct"
"8P","62","Barbados","Barbados","ng3k-direct"
"8Q","159","Maldives","Maldives","ng3k-direct"
"8R","129","Guyana","Guyana","ng3k-direct"
"8S","284","Sweden","Sweden","ng3k-direct"
"8T","324","India","India","ng3k-direct"
"8U","324","India","India","ng3k-direct"
"8V","324","India","India","ng3k-direct"
"8W","324","India","India","ng3k-direct"
"8X","324","India","India","ng3k-direct"
"8Y","324","India","India","ng3k-direct"
"8Z","378","Saudi Arabia","Saudi Arabia","ng3k-direct"
"9A","497","Croatia","Croatia","ng3k-direct"
"9B","330","Iran","Iran","ng3k-direct"
"9C","330","Iran","Iran","ng3k-direct"
"9D","330","Iran","Iran","ng3k-direct"
"9E","53","Ethiopia","Ethiopia","ng3k-direct"
"9F","53","Ethiopia","Ethiopia","ng3k-direct"
"9G","424","Ghana","Ghana","ng3k-direct"
"9H","257","Malta","Malta","ng3k-direct"
"9I","482","Zambia","Zambia","ng3k-direct"
"9J","482","Zambia","Zambia","ng3k-direct"
"9K","348","Kuwait","Kuwait","ng3k-direct"
"9L","458","Sierra Leone","Sierra Leone","ng3k-direct"
"9M","299","West Malaysia","West Malaysia","ng3k-direct"
"9M0","247","Spratly Islands","Spratly Is","ng3k-itu-owner"
"9M2","299","West Malaysia","West Malaysia","ng3k-direct"
"9M4CHQ","46","East Malaysia","East Malaysia","ng3k-direct"
"9M6","46","East Malaysia","East Malaysia","ng3k-direct"
"9M8","46","East Malaysia","East Malaysia","ng3k-direct"
"9N","369","Nepal","Nepal","ng3k-direct"
